Sl. No.,Category,Particulars,Unit,2017-18,2018-19,2019-20,2020-21,2021-22,2022-23
1,Mulberry Plantation,Mulberry Plantation,ha.,223926,235001,239967,237578,242277,253182
2,Mulberry Cocoon Production,Bivoltine,MT,38945,46458,46295,43885,52328,57879
3,Mulberry Cocoon Production,Cross Breed,MT,122739,139102,138848,125460,134913,141873
4,Total,Total,MT,161684,185560,185143,169345,187241,199752
5,Mulberry Silk Production,Bivoltine,MT,5874,6987,7009,6783,7941,8904
6,Mulberry Silk Production,Multivoltine,MT,16192,18357,18230,17113,17877,18750
7,Total,Total,MT,22066,25344,25239,23896,25818,27654
8,Vanya Silk,Tasar Reeling Cocoon,Lakh No.,22435,23336,24181,20775,12217,10721
9,Vanya Silk,Tasar Silk Yarn,MT,2988,2981,3136,2689,1466,1318
10,Vanya Silk,Eri Cut Cocoon,MT,9968,9120,9219,8951,9528,9558
11,Vanya Silk,Eri Spun Yarn,MT,6661,6910,7204,6946,7364,7349
12,Vanya Silk,Muga Reeling Cocoon,Lakh No.,9645,11682,12814,12056,12886,12890
13,Vanya Silk,Muga Raw Silk,MT,192,233,241,239,255,261
14,Total Vanya Silk Production,Total Vanya Silk Production,MT,9840,10124,10581,9874,9085,8928
15,Total Raw Silk Production,Total Raw Silk Production,MT,31906,35468,35820,33770,34903,36582
16,Exports,Exports,Crore Rs.,1649.48,2031.88,1745.65,1466.6,1848.96,1773.38
17,Exports,Exports,Mn. US$,255.93,291.36,246.67,198.3,248.56,220.58
18,Import of Raw Silk,Quantity,MT,3712,2785,3315,1804,1978,3874
19,Import of Raw Silk,Value,Crore Rs.,1218.14,1041.4,1149.32,570.56,819.68,1713.68
20,Import of Raw Silk,Value,Mn. US$,189.01,148.38,162.38,77.24,109.75,214.27
21,Import of Raw Silk,Employment,Lakh Person,86.04,91.78,94.3,87.3,87.8,92.2
22,Prices Mulberry,Reeling Cocoon (CB),Rs. /kg,398,282,330,254,420,524
23,Prices Mulberry,Reeling Cocoon (BV),Rs. /kg,492,342,409,330,541,626
24,Prices Mulberry,Raw Silk,Rs. /kg,3500,3191,3026,2562,3421,4590
25,Prices Mulberry,Silk Waste (Filature),Rs. /kg,540-650,540-700,520-680,400-550,410-740,720-1050
26,Vanya Tasar,Reeling Cocoon (Daba-Grade1),Rs./1000 No.,3000-3700,3000-3450,3200-3400,2700-3200,3200-3680,3200-4740
27,Vanya Tasar,Reeling Cocoon (Raily),Rs./1000 No.,4000-5000,4000-5000,4500-5000,2700-3200,3200-3680,3200-6470
28,Vanya Tasar,Raw Silk (Reeled Yarn),Rs. /kg,3200-3500,3200-3500,4000-4500,3200-4000,3200-4000,4000-6000
29,Vanya Tasar,Raw Silk (Ghicha Yarn),Rs. /kg,1800-2100,1800-2100,2000-2200,1800-2100,1800-2100,2000-3000
30,Eri,Cut Cocoon (Superior Quality),Rs. /kg,700-890,700-900,750-950,770-930,770-1100,800-1300
31,Eri,Raw Silk (Spun Yarn),Rs. /kg,2100-2700,2250-2800,2500-2900,2460-2800,2500-2900,2300-3600
32,Muga,Reeling Cocoon,Rs./1000 No.,1800-4000,1800-6000,3000-6000,2200-4000,2000-4000,3000-5000
33,Muga,Raw Silk (Warp),Rs. /kg,13000-22000,18000-25000,19400-25500,19800-26000,19800-30000,28000-34000
34,Muga,Raw Silk (Weft),Rs. /kg,12000-20000,16500-20000,17000-19000,17800-20000,18000-27000,26000-30000
